paper_no,first_author_surname,pub_year,order,family,genus,species,genus_timetree,species_timetree,location,population,data_year,egg_design,source_page,source,trait_cat,trait,units,egg_embryo_hatchling,age,sex,other_factors,const_fluct,T,T_fluc,water_potential,WP_fluc,mean,error,N,error_type,data_style,comment_code,comm_text
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,28,0.2,-150,NA,74.5,2.6,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,28,0.2,-550,NA,75.5,2.7,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,28,0.2,-1100,NA,72.9,1.5,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,29.5,0.2,-150,NA,72.6,3.7,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,29.5,0.2,-550,NA,72,3.2,10,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,29.5,0.2,-1100,NA,73.5,2.2,8,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,31,0.2,-150,NA,74.6,3,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,31,0.2,-550,NA,77.6,2,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,769,Table 1,Morphology,Mass,g,Egg,NA,mixed,NA,Const,31,0.2,-1100,NA,74.3,2.2,9,SE,raw,,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,122,mixed,NA,Const,28,0.2,NA,NA,0.015,0.004,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,243,mixed,NA,Const,28,0.2,NA,NA,0.033,0.004,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,365,mixed,NA,Const,28,0.2,NA,NA,0.036,0.003,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,496,mixed,NA,Const,28,0.2,NA,NA,0.032,0.003,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,122,mixed,NA,Const,29.5,0.2,NA,NA,0.033,0.004,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,243,mixed,NA,Const,29.5,0.2,NA,NA,0.043,0.003,13.67,SE,raw,2,
1000,Alberts,1997,Squamata,Iguanidae,Cyclura,nubila,Cyclura,nubila," Guant‡namo Bay Naval Base, Guant‡namo Bay, Cuba",pop1,1993,split_pseudo,771,Table 2,Development,Head length,mm/day,Hatchling,365,mixed,NA,Const,29.5,0.2,NA,NA,0.042,0.003,13.67,SE,raw,2,
